,name,ActionScript,C,C#,C++,Clojure,CoffeeScript,CSS,Go,Haskell,HTML,Java,JavaScript,Lua,Matlab,Objective-C,Perl,PHP,Python,R,Ruby,Scala,Shell,Swift,TeX,Vim script
0,mojombo,0,2,0,1,0,0,2,1,0,1,0,6,0,0,0,1,0,0,1,20,0,0,0,0,0
1,defunkt,0,3,0,0,0,2,1,0,0,0,0,15,0,0,2,0,1,4,0,52,0,0,0,0,0
2,pjhyett,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0
3,wycats,0,3,1,1,0,2,3,0,0,3,1,44,0,0,0,0,0,0,0,85,0,1,0,0,0
4,ezmobius,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0
5,ivey,0,0,0,1,5,4,0,7,0,0,1,6,0,0,0,0,0,3,0,46,0,2,0,0,0
6,evanphx,0,15,0,6,0,0,1,31,0,2,1,3,0,0,2,0,0,2,0,60,0,2,0,0,1
7,vanpelt,0,0,0,1,0,0,2,1,0,0,0,11,0,0,1,0,0,6,0,15,0,0,0,0,0
8,wayneeseguin,0,6,1,0,0,0,0,10,0,0,0,5,0,0,0,1,1,1,4,40,0,12,0,0,0
9,brynary,0,0,0,0,0,0,0,2,0,0,4,6,0,0,2,0,5,6,0,124,0,7,0,0,0
10,kevinclark,0,0,0,1,0,0,0,2,1,0,1,2,0,0,0,0,0,4,0,6,1,0,0,0,0
11,technoweenie,0,2,1,1,0,12,1,21,0,1,0,19,0,0,1,0,0,3,0,86,0,1,0,0,0
12,macournoyer,0,6,0,2,0,1,2,0,0,0,2,6,2,0,0,0,0,0,0,30,0,0,0,0,0
13,takeo,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0
14,Caged,0,1,0,0,0,3,0,0,0,4,0,42,0,0,5,0,0,9,1,18,0,7,0,0,0
15,topfunky,0,2,0,0,0,2,0,2,0,1,0,28,0,0,6,0,0,0,0,32,0,3,0,0,0
16,anotherjesse,2,0,0,0,1,0,0,0,0,0,1,20,0,0,3,1,0,24,0,15,0,1,0,0,0
17,roland,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
18,lukas,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,11,0,1,0,0,0,0,0
19,fanvsfan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,tomtt,0,0,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,49,0,0,0,0,0
21,railsjitsu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,nitay,0,0,0,6,0,0,0,0,0,0,8,3,0,0,4,0,0,3,0,1,5,0,0,0,0
23,kevwil,0,1,0,0,0,1,0,3,2,2,4,8,1,0,0,0,0,2,0,8,0,1,0,0,0
24,KirinDave,0,0,0,2,11,0,0,1,9,0,4,9,0,0,1,0,1,0,0,6,2,0,0,0,1
25,jamesgolick,0,3,0,3,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,71,10,1,0,0,0
26,atmos,0,1,0,2,1,15,1,5,0,2,1,27,1,0,2,3,0,3,0,86,0,8,0,0,0
27,errfree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
